id,product_name,category_1,category_2,category_3,brand
1989,Coty brand collaborative networks 78ml,Fragrance,Conditioners,Night Creams,Coty
1843,Coty enable B2C e-markets 496ml,Makeup,Body Lotion,Face Cleansers,Estée Lauder
2763,Estée Lauder visualize holistic interfaces 415ml,Bath & Body,Lipstick,Night Creams,Unilever
2925,Procter & Gamble redefine seamless applications 209ml,Makeup,Mascara,Matte Lipstick,Unilever
1251,Coty repurpose transparent technologies 387ml,Skin Care,Masks,Matte Lipstick,Estée Lauder
2664,Coty orchestrate viral users 301ml,Skin Care,Shampoos,Face Masks,L’Oréal
2471,L’Oréal implement strategic partnerships 288ml,Makeup,Body Lotion,Waterproof Mascara,Procter & Gamble
1822,L’Oréal disintermediate user-centric interfaces 48ml,Hair Care,Moisturizers,Matte Lipstick,Coty
1668,Estée Lauder iterate world-class channels 222ml,Hair Care,Body Lotion,Waterproof Mascara,L’Oréal
1217,Estée Lauder disintermediate seamless paradigms 367ml,Skin Care,Perfume,Face Masks,Procter & Gamble
2105,Estée Lauder generate dot-com niches 120ml,Bath & Body,Cleansers,Face Masks,Unilever
2787,Estée Lauder engage web-enabled synergies 491ml,Makeup,Masks,Body Cleansers,Coty
1379,Unilever matrix bleeding-edge portals 439ml,Makeup,Cleansers,Hair Masks,L’Oréal
2060,Unilever monetize cross-platform architectures 114ml,Fragrance,Body Lotion,Night Creams,Estée Lauder
2909,Procter & Gamble monetize killer networks 339ml,Makeup,Mascara,Night Creams,Coty
2228,Unilever e-enable integrated metrics 167ml,Hair Care,Shampoos,Eau de Parfum,Coty
2475,Estée Lauder embrace distributed interfaces 182ml,Bath & Body,Shampoos,Body Scrubs,Procter & Gamble
2395,Procter & Gamble leverage ubiquitous portals 267ml,Fragrance,Lipstick,Body Scrubs,Unilever
1381,L’Oréal streamline cross-media schemas 311ml,Fragrance,Masks,Day Creams,L’Oréal
2127,Estée Lauder brand user-centric e-tailers 310ml,Hair Care,Lipstick,Waterproof Mascara,Unilever
1830,Coty strategize compelling niches 246ml,Makeup,Moisturizers,Hair Masks,Coty
2963,L’Oréal morph web-enabled experiences 207ml,Makeup,Masks,Body Cleansers,Coty
2410,Coty e-enable front-end e-services 413ml,Bath & Body,Masks,Hair Masks,L’Oréal
1232,Coty grow B2C web-readiness 66ml,Fragrance,Body Lotion,Day Creams,Coty
1621,Procter & Gamble benchmark e-business synergies 17ml,Skin Care,Conditioners,Body Scrubs,Procter & Gamble
1912,Procter & Gamble empower distributed bandwidth 284ml,Bath & Body,Body Lotion,Matte Lipstick,Procter & Gamble
2313,Estée Lauder engineer 24/365 interfaces 250ml,Fragrance,Cleansers,Waterproof Mascara,Unilever
1542,Procter & Gamble orchestrate enterprise partnerships 243ml,Bath & Body,Moisturizers,Face Cleansers,L’Oréal
1476,Estée Lauder monetize intuitive e-services 284ml,Bath & Body,Shampoos,Body Scrubs,Unilever
1375,L’Oréal extend cutting-edge solutions 264ml,Makeup,Body Wash,Matte Lipstick,Coty
2139,Procter & Gamble empower synergistic synergies 137ml,Skin Care,Body Lotion,Waterproof Mascara,Estée Lauder
1702,Estée Lauder harness proactive networks 284ml,Hair Care,Shampoos,Hair Masks,Coty
1752,Coty extend magnetic web services 314ml,Makeup,Masks,Body Scrubs,L’Oréal
2683,Procter & Gamble syndicate virtual models 50ml,Hair Care,Masks,Face Cleansers,Procter & Gamble
1086,L’Oréal expedite front-end deliverables 295ml,Hair Care,Masks,Body Scrubs,Procter & Gamble
1797,Coty streamline holistic action-items 478ml,Hair Care,Conditioners,Night Creams,L’Oréal
2919,Procter & Gamble redefine extensible models 91ml,Skin Care,Masks,Body Cleansers,Coty
1057,Estée Lauder aggregate out-of-the-box e-commerce 178ml,Skin Care,Lipstick,Face Masks,Estée Lauder
1470,Estée Lauder deploy proactive action-items 76ml,Hair Care,Body Lotion,Waterproof Mascara,Unilever
2858,Coty evolve robust technologies 340ml,Makeup,Conditioners,Body Cleansers,Unilever
1202,Estée Lauder deploy global convergence 390ml,Bath & Body,Shampoos,Waterproof Mascara,Unilever
2193,Unilever synergize intuitive ROI 163ml,Hair Care,Shampoos,Day Creams,Procter & Gamble
2446,Estée Lauder drive cross-platform systems 21ml,Hair Care,Mascara,Day Creams,Unilever
1617,Procter & Gamble transition world-class markets 360ml,Skin Care,Moisturizers,Face Cleansers,Coty
1215,Estée Lauder enable front-end schemas 174ml,Makeup,Perfume,Hair Masks,Unilever
1890,Estée Lauder harness leading-edge e-business 490ml,Fragrance,Masks,Hair Masks,Unilever
1942,Estée Lauder morph customized partnerships 455ml,Bath & Body,Body Lotion,Face Cleansers,Coty
1341,Coty seize frictionless web-readiness 149ml,Fragrance,Cleansers,Eau de Parfum,Coty
2592,Procter & Gamble extend value-added e-services 464ml,Makeup,Body Lotion,Waterproof Mascara,Unilever
2019,L’Oréal streamline distributed channels 175ml,Fragrance,Lipstick,Body Cleansers,Coty
2203,Procter & Gamble utilize e-business paradigms 445ml,Bath & Body,Perfume,Face Cleansers,Procter & Gamble
1812,L’Oréal extend web-enabled technologies 438ml,Fragrance,Lipstick,Body Scrubs,L’Oréal
1227,Procter & Gamble whiteboard interactive solutions 124ml,Hair Care,Masks,Night Creams,Procter & Gamble
1908,Coty reinvent plug-and-play users 357ml,Fragrance,Mascara,Hair Masks,L’Oréal
1998,Procter & Gamble seize front-end solutions 218ml,Makeup,Masks,Body Scrubs,Estée Lauder
1655,Coty streamline front-end architectures 356ml,Skin Care,Mascara,Face Cleansers,L’Oréal
2589,Procter & Gamble streamline turn-key deliverables 335ml,Fragrance,Body Lotion,Body Cleansers,Procter & Gamble
2472,Unilever reinvent open-source mindshare 112ml,Bath & Body,Masks,Night Creams,Coty
1870,Estée Lauder redefine back-end ROI 383ml,Fragrance,Cleansers,Night Creams,Coty
1627,Procter & Gamble envisioneer plug-and-play web-readiness 410ml,Skin Care,Masks,Eau de Parfum,Procter & Gamble
1512,Unilever transition collaborative methodologies 48ml,Makeup,Body Wash,Body Cleansers,Coty
1690,Unilever synthesize clicks-and-mortar schemas 484ml,Hair Care,Moisturizers,Day Creams,Procter & Gamble
2903,Unilever generate end-to-end relationships 80ml,Fragrance,Moisturizers,Body Cleansers,Unilever
1566,Procter & Gamble enhance sticky action-items 441ml,Skin Care,Perfume,Eau de Parfum,Unilever
1419,Procter & Gamble visualize bricks-and-clicks functionalities 434ml,Bath & Body,Masks,Waterproof Mascara,Estée Lauder
1651,Estée Lauder expedite innovative relationships 289ml,Fragrance,Lipstick,Night Creams,L’Oréal
2577,Unilever synergize interactive ROI 37ml,Bath & Body,Body Wash,Matte Lipstick,L’Oréal
1662,Procter & Gamble streamline plug-and-play info-mediaries 31ml,Fragrance,Conditioners,Body Scrubs,Procter & Gamble
1875,Coty whiteboard B2C e-commerce 317ml,Fragrance,Shampoos,Face Cleansers,Procter & Gamble
2181,Estée Lauder utilize dynamic web-readiness 446ml,Hair Care,Masks,Day Creams,Procter & Gamble
1294,Procter & Gamble monetize transparent communities 84ml,Bath & Body,Masks,Hair Masks,Procter & Gamble
2750,Coty embrace magnetic metrics 329ml,Bath & Body,Body Wash,Matte Lipstick,Unilever
1749,Coty empower sticky e-business 158ml,Hair Care,Moisturizers,Body Scrubs,Procter & Gamble
2235,Coty enhance global communities 210ml,Makeup,Masks,Day Creams,Estée Lauder
2281,Procter & Gamble drive 24/365 bandwidth 434ml,Bath & Body,Perfume,Day Creams,Estée Lauder
3017,Unilever revolutionize viral action-items 490ml,Hair Care,Cleansers,Body Cleansers,L’Oréal
1929,Coty implement B2C users 265ml,Bath & Body,Cleansers,Day Creams,Unilever
2278,Coty drive innovative action-items 397ml,Makeup,Perfume,Day Creams,Estée Lauder
1166,Unilever productize proactive architectures 469ml,Bath & Body,Body Wash,Face Masks,Estée Lauder
2306,Unilever disintermediate world-class deliverables 162ml,Skin Care,Body Wash,Face Cleansers,Coty
1199,Procter & Gamble monetize value-added portals 244ml,Skin Care,Moisturizers,Waterproof Mascara,Coty
1081,Unilever grow best-of-breed architectures 48ml,Fragrance,Body Wash,Face Masks,Coty
1133,Coty generate e-business web services 81ml,Hair Care,Body Wash,Hair Masks,Estée Lauder
2548,Unilever harness transparent architectures 297ml,Skin Care,Body Lotion,Day Creams,Unilever
2154,Coty optimize compelling bandwidth 278ml,Bath & Body,Perfume,Eau de Parfum,Estée Lauder
2266,Estée Lauder optimize leading-edge action-items 430ml,Skin Care,Mascara,Body Scrubs,L’Oréal
1163,Coty orchestrate visionary deliverables 203ml,Fragrance,Cleansers,Face Cleansers,L’Oréal
2742,Procter & Gamble transition virtual technologies 291ml,Bath & Body,Perfume,Hair Masks,Coty
2774,Procter & Gamble architect real-time paradigms 90ml,Makeup,Masks,Face Masks,Estée Lauder
2213,Procter & Gamble mesh distributed communities 330ml,Fragrance,Masks,Body Scrubs,Procter & Gamble
2266,Unilever benchmark distributed eyeballs 449ml,Bath & Body,Conditioners,Face Masks,Unilever
2832,Estée Lauder deliver bricks-and-clicks models 445ml,Hair Care,Conditioners,Waterproof Mascara,Coty
2130,Estée Lauder enhance holistic infrastructures 70ml,Makeup,Masks,Face Masks,Coty
3053,Procter & Gamble matrix proactive ROI 19ml,Skin Care,Perfume,Eau de Parfum,Estée Lauder
1182,Estée Lauder brand out-of-the-box schemas 236ml,Fragrance,Perfume,Waterproof Mascara,Procter & Gamble
2513,Coty morph best-of-breed networks 323ml,Hair Care,Conditioners,Day Creams,Unilever
1128,Procter & Gamble innovate scalable eyeballs 344ml,Bath & Body,Conditioners,Waterproof Mascara,Procter & Gamble
2625,Coty engage back-end relationships 113ml,Bath & Body,Lipstick,Night Creams,Coty
2536,Coty deploy cutting-edge web services 146ml,Hair Care,Moisturizers,Matte Lipstick,Unilever
1485,Unilever deliver end-to-end action-items 118ml,Bath & Body,Mascara,Day Creams,Unilever
1671,Procter & Gamble reinvent plug-and-play partnerships 171ml,Skin Care,Conditioners,Body Cleansers,Unilever
2770,Estée Lauder grow B2B systems 350ml,Skin Care,Moisturizers,Body Cleansers,Unilever
2933,L’Oréal incubate ubiquitous e-commerce 498ml,Bath & Body,Perfume,Body Scrubs,Coty
2128,Estée Lauder drive compelling eyeballs 227ml,Bath & Body,Perfume,Night Creams,Coty
1874,Coty mesh virtual schemas 337ml,Fragrance,Perfume,Night Creams,Unilever
3042,Estée Lauder synergize front-end applications 181ml,Skin Care,Conditioners,Night Creams,Procter & Gamble
1849,Procter & Gamble integrate transparent initiatives 416ml,Bath & Body,Perfume,Face Cleansers,L’Oréal
1314,Procter & Gamble expedite sticky e-tailers 356ml,Fragrance,Body Lotion,Matte Lipstick,Procter & Gamble
1498,Procter & Gamble implement plug-and-play convergence 91ml,Bath & Body,Shampoos,Hair Masks,L’Oréal
2048,Unilever seize world-class e-tailers 454ml,Skin Care,Perfume,Day Creams,Procter & Gamble
2470,L’Oréal e-enable end-to-end markets 371ml,Fragrance,Moisturizers,Night Creams,Unilever
2700,Estée Lauder re-contextualize bleeding-edge niches 157ml,Hair Care,Conditioners,Body Scrubs,Estée Lauder
2342,Procter & Gamble whiteboard global web services 183ml,Hair Care,Moisturizers,Body Scrubs,L’Oréal
1245,Procter & Gamble redefine front-end convergence 265ml,Hair Care,Shampoos,Face Cleansers,Coty
2440,Unilever engineer magnetic e-commerce 254ml,Fragrance,Shampoos,Face Cleansers,L’Oréal
2431,L’Oréal extend cross-media e-business 312ml,Skin Care,Moisturizers,Night Creams,Procter & Gamble
2409,Estée Lauder deliver proactive portals 150ml,Skin Care,Lipstick,Night Creams,Estée Lauder
2112,Procter & Gamble monetize out-of-the-box methodologies 28ml,Bath & Body,Lipstick,Body Cleansers,Unilever
1934,Coty envisioneer B2C partnerships 433ml,Bath & Body,Body Wash,Hair Masks,Estée Lauder
3067,Procter & Gamble revolutionize holistic infrastructures 344ml,Bath & Body,Shampoos,Day Creams,Unilever
2124,Estée Lauder embrace compelling supply-chains 186ml,Makeup,Mascara,Face Masks,L’Oréal
2458,Procter & Gamble unleash rich functionalities 159ml,Skin Care,Perfume,Face Masks,Coty
2027,Procter & Gamble enhance vertical e-markets 57ml,Bath & Body,Body Wash,Hair Masks,Procter & Gamble
2252,Unilever utilize extensible ROI 65ml,Fragrance,Cleansers,Body Cleansers,Unilever
2613,Estée Lauder envisioneer end-to-end e-services 13ml,Skin Care,Moisturizers,Waterproof Mascara,L’Oréal
2902,L’Oréal optimize dynamic markets 462ml,Bath & Body,Mascara,Face Cleansers,Procter & Gamble
1169,Coty synthesize B2C users 192ml,Skin Care,Moisturizers,Matte Lipstick,Unilever
1831,L’Oréal repurpose open-source interfaces 103ml,Bath & Body,Perfume,Body Scrubs,L’Oréal
1880,Unilever harness visionary metrics 231ml,Bath & Body,Conditioners,Hair Masks,Estée Lauder
2246,Procter & Gamble e-enable turn-key bandwidth 470ml,Skin Care,Lipstick,Waterproof Mascara,Unilever
1515,Procter & Gamble synthesize bleeding-edge applications 110ml,Fragrance,Mascara,Body Cleansers,Unilever
1729,Procter & Gamble visualize interactive e-business 223ml,Hair Care,Masks,Body Scrubs,Estée Lauder
2257,Unilever orchestrate virtual platforms 353ml,Fragrance,Mascara,Hair Masks,Procter & Gamble
2037,Coty utilize viral niches 384ml,Fragrance,Lipstick,Day Creams,Unilever
1289,Estée Lauder re-intermediate compelling models 400ml,Makeup,Conditioners,Face Masks,Coty
2417,Unilever synthesize cross-platform initiatives 274ml,Hair Care,Shampoos,Face Masks,Procter & Gamble
1399,L’Oréal maximize magnetic applications 229ml,Bath & Body,Mascara,Matte Lipstick,Unilever
2095,Estée Lauder benchmark scalable schemas 356ml,Skin Care,Conditioners,Body Cleansers,Coty
2048,L’Oréal engineer wireless relationships 165ml,Skin Care,Perfume,Face Masks,Procter & Gamble
1659,Procter & Gamble re-intermediate leading-edge e-commerce 104ml,Fragrance,Mascara,Hair Masks,L’Oréal
2169,Estée Lauder brand distributed schemas 261ml,Hair Care,Lipstick,Face Cleansers,Unilever
2767,Coty cultivate dot-com methodologies 103ml,Hair Care,Conditioners,Night Creams,Procter & Gamble
2212,Estée Lauder empower leading-edge vortals 376ml,Fragrance,Conditioners,Day Creams,L’Oréal
3021,L’Oréal expedite sticky channels 431ml,Skin Care,Moisturizers,Face Masks,Unilever
2153,L’Oréal matrix viral technologies 132ml,Makeup,Lipstick,Body Cleansers,Procter & Gamble
2400,Unilever reinvent clicks-and-mortar solutions 136ml,Hair Care,Shampoos,Hair Masks,Procter & Gamble
2511,Procter & Gamble grow cross-platform e-services 460ml,Hair Care,Body Lotion,Eau de Parfum,Coty
1852,Estée Lauder facilitate impactful channels 67ml,Hair Care,Cleansers,Face Cleansers,L’Oréal
1785,Estée Lauder maximize vertical platforms 236ml,Hair Care,Cleansers,Night Creams,L’Oréal
2942,L’Oréal seize impactful partnerships 360ml,Makeup,Moisturizers,Face Cleansers,Estée Lauder
2592,Unilever architect leading-edge networks 217ml,Skin Care,Shampoos,Hair Masks,Procter & Gamble
2177,L’Oréal orchestrate 24/365 deliverables 266ml,Hair Care,Lipstick,Body Scrubs,Unilever
1450,Estée Lauder target ubiquitous systems 426ml,Hair Care,Body Wash,Eau de Parfum,Estée Lauder
1650,Unilever deploy bleeding-edge applications 168ml,Hair Care,Shampoos,Eau de Parfum,L’Oréal
1823,Procter & Gamble engage wireless interfaces 434ml,Fragrance,Moisturizers,Face Cleansers,Estée Lauder
1233,Estée Lauder embrace web-enabled relationships 348ml,Bath & Body,Lipstick,Matte Lipstick,Coty
2857,Estée Lauder incubate world-class functionalities 58ml,Bath & Body,Masks,Hair Masks,L’Oréal
1903,Estée Lauder unleash dynamic mindshare 333ml,Makeup,Conditioners,Body Scrubs,Coty
1899,Estée Lauder drive plug-and-play architectures 10ml,Fragrance,Perfume,Face Cleansers,Procter & Gamble
2026,L’Oréal synthesize value-added partnerships 310ml,Fragrance,Conditioners,Eau de Parfum,L’Oréal
1209,Unilever repurpose real-time ROI 271ml,Fragrance,Body Wash,Night Creams,Unilever
2140,L’Oréal orchestrate cross-media metrics 215ml,Skin Care,Cleansers,Night Creams,Estée Lauder
1804,L’Oréal disintermediate clicks-and-mortar action-items 399ml,Fragrance,Lipstick,Matte Lipstick,L’Oréal
1989,Procter & Gamble utilize efficient portals 192ml,Skin Care,Body Lotion,Eau de Parfum,L’Oréal
2812,Estée Lauder monetize visionary technologies 234ml,Fragrance,Cleansers,Night Creams,Estée Lauder
2407,Coty grow proactive supply-chains 237ml,Hair Care,Masks,Night Creams,Unilever
2982,Estée Lauder transform frictionless e-business 477ml,Fragrance,Masks,Body Cleansers,Procter & Gamble
1573,L’Oréal redefine granular interfaces 437ml,Makeup,Shampoos,Face Cleansers,L’Oréal
2332,Estée Lauder matrix granular partnerships 356ml,Hair Care,Conditioners,Face Masks,L’Oréal
1363,Procter & Gamble embrace distributed e-commerce 482ml,Makeup,Masks,Night Creams,L’Oréal
1485,Unilever unleash back-end solutions 457ml,Skin Care,Shampoos,Eau de Parfum,Coty
2612,Coty incentivize scalable functionalities 463ml,Makeup,Mascara,Face Masks,Estée Lauder
3030,L’Oréal maximize back-end solutions 480ml,Skin Care,Perfume,Waterproof Mascara,Unilever
2736,Unilever seize B2B ROI 473ml,Bath & Body,Perfume,Body Cleansers,Estée Lauder
3111,L’Oréal target frictionless e-services 160ml,Skin Care,Masks,Night Creams,Unilever
1312,Procter & Gamble cultivate proactive bandwidth 279ml,Fragrance,Body Lotion,Day Creams,L’Oréal
2168,Coty seize one-to-one schemas 47ml,Hair Care,Mascara,Face Masks,Coty
2537,Procter & Gamble envisioneer user-centric networks 83ml,Bath & Body,Mascara,Face Cleansers,Estée Lauder
2482,Estée Lauder orchestrate impactful networks 232ml,Fragrance,Perfume,Face Masks,Estée Lauder
1831,L’Oréal enhance value-added methodologies 42ml,Hair Care,Masks,Day Creams,Coty
2436,L’Oréal optimize visionary action-items 84ml,Skin Care,Shampoos,Face Masks,Coty
2905,Procter & Gamble mesh dynamic content 130ml,Bath & Body,Body Wash,Hair Masks,L’Oréal
3019,L’Oréal leverage 24/7 metrics 228ml,Makeup,Lipstick,Matte Lipstick,L’Oréal
2656,Procter & Gamble synergize innovative supply-chains 381ml,Bath & Body,Body Lotion,Eau de Parfum,Estée Lauder
2775,L’Oréal engage proactive vortals 121ml,Skin Care,Mascara,Matte Lipstick,Coty
3158,Estée Lauder syndicate frictionless e-markets 226ml,Skin Care,Lipstick,Night Creams,Estée Lauder
3055,Estée Lauder strategize wireless e-business 323ml,Hair Care,Masks,Face Cleansers,L’Oréal
1653,Procter & Gamble exploit 24/7 synergies 458ml,Bath & Body,Lipstick,Eau de Parfum,Coty
2485,L’Oréal optimize back-end platforms 328ml,Fragrance,Mascara,Body Scrubs,Coty
2627,Unilever synthesize interactive action-items 28ml,Bath & Body,Mascara,Hair Masks,Estée Lauder
1306,Procter & Gamble unleash sticky systems 406ml,Fragrance,Mascara,Face Cleansers,Unilever
2980,Procter & Gamble grow compelling synergies 163ml,Skin Care,Perfume,Body Cleansers,Estée Lauder
1647,Unilever integrate vertical architectures 196ml,Bath & Body,Mascara,Face Masks,Procter & Gamble
2241,L’Oréal utilize vertical e-tailers 289ml,Hair Care,Conditioners,Face Masks,Estée Lauder
1534,Procter & Gamble repurpose next-generation initiatives 455ml,Skin Care,Perfume,Matte Lipstick,Estée Lauder
2916,Unilever redefine B2C experiences 489ml,Fragrance,Shampoos,Body Scrubs,Estée Lauder
1800,L’Oréal empower front-end infrastructures 307ml,Skin Care,Shampoos,Face Cleansers,Coty
2571,L’Oréal scale vertical web services 343ml,Skin Care,Cleansers,Matte Lipstick,Estée Lauder
1604,L’Oréal reinvent intuitive action-items 347ml,Makeup,Conditioners,Day Creams,Coty
1638,Procter & Gamble benchmark global schemas 183ml,Bath & Body,Lipstick,Face Cleansers,L’Oréal
